polar angle azimuth angle         value
        100       129.296  -2.02416e-06
        100       134.366  -4.26056e-07
        100       139.437  -6.73067e-06
        100       144.507  -3.85893e-06
        100       149.577  -4.10234e-06
        100       154.648   2.28186e-06
        100       159.718  -8.37992e-07
        100       164.789  -2.20976e-06
        100       169.859   2.49123e-06
        100        174.93   2.83693e-06
        100           180  -6.25547e-06
        100       -174.93   2.81993e-06
        100      -169.859   2.48762e-06
        100      -164.789  -2.12892e-06
        100      -159.718  -7.27567e-07
        100      -154.648   2.42128e-06
        100      -149.577  -4.07719e-06
        100      -144.507  -3.96906e-06
        100      -139.437  -6.75479e-06
        100      -134.366  -3.38839e-07
        100      -129.296  -1.98858e-06
        100      -124.225  -1.06207e-06
        100      -119.155   -2.9477e-06
        100      -114.085   3.84481e-06
        100      -109.014  -3.71876e-06
        100      -103.944  -9.45708e-06
        100      -98.8732  -6.84188e-06
        100      -93.8028  -6.99549e-06
        100      -88.7324    3.5733e-06
        100       -83.662   6.69781e-06
        100      -78.5915   1.25831e-05
        100      -73.5211  -1.22846e-06
        100      -68.4507   4.33219e-06
        100      -63.3803   7.90467e-06
        100      -58.3099   1.67832e-06
        100      -53.2394  -7.21588e-06
        100       -48.169   1.93296e-06
        100      -43.0986    0.00200414
        100      -38.0282     0.0318716
        100      -32.9577     0.0886607
        100      -27.8873      0.161394
        100      -22.8169      0.239774
        100      -17.7465      0.314549
        100      -12.6761      0.377865
        100      -7.60563      0.423647
        100      -2.53521      0.447595
        105             0      0.392861
        105       5.14286      0.381472
        105       10.2857      0.348337
        105       15.4286      0.296749
        105       20.5714      0.231954
        105       25.7143      0.161058
        105       30.8571     0.0927351
        105            36     0.0368499
        105       41.1429    0.00417155
        105       46.2857  -5.63905e-06
        105       51.4286   1.38348e-05
        105       56.5714   4.16872e-06
        105       61.7143  -1.19977e-07
        105       66.8571   7.82704e-07
        105            72   8.85073e-06
        105       77.1429   4.39392e-07
        105       82.2857   2.63064e-06
        105       87.4286   8.94927e-06
        105       92.5714   6.96482e-06
        105       97.7143   6.94775e-06
        105       102.857  -1.08295e-07
        105           108  -6.72276e-06
        105       113.143  -8.89918e-06
        105       118.286  -3.75632e-06
        105       123.429   9.31305e-07
        105       128.571   -3.9056e-06
        105       133.714  -2.08534e-06
        105       138.857   2.91192e-06
        105           144   6.03631e-06
        105       149.143   6.14202e-06
        105       154.286   7.45959e-06
        105       159.429  -5.32179e-06
        105       164.571    3.8179e-08
        105       169.714  -3.77375e-06
        105       174.857   3.31448e-06
        105           180   -1.9688e-06
        105      -174.857   3.29836e-06
        105      -169.714  -3.67462e-06
        105      -164.571   9.30511e-08
        105      -159.429  -5.35636e-06
        105      -154.286   7.54088e-06
        105      -149.143   6.18979e-06
        105          -144   6.03479e-06
        105      -138.857   3.02586e-06
        105      -133.714  -2.06584e-06
        105      -128.571  -3.71081e-06
        105      -123.429   9.38514e-07
        105      -118.286  -3.73311e-06
        105      -113.143  -8.86199e-06
        105          -108  -6.63196e-06
        105      -102.857  -4.68732e-08
        105      -97.7143   6.82377e-06
        105      -92.5714   7.15981e-06
        105      -87.4286   9.03492e-06
        105      -82.2857   2.60079e-06
        105      -77.1429   3.74184e-07
        105           -72   9.02496e-06
        105      -66.8571   8.66241e-07
        105      -61.7143  -1.59972e-07
        105      -56.5714   4.25423e-06
        105      -51.4286    1.3947e-05
        105      -46.2857   -5.4901e-06
        105      -41.1429    0.00417182
        105           -36       0.03685
        105      -30.8571     0.0927353
        105      -25.7143      0.161058
        105      -20.5714      0.231954
        105      -15.4286      0.296749
        105      -10.2857      0.348336
        105      -5.14286      0.381472
        110       2.64706      0.316517
        110       7.94118       0.29563
        110       13.2353      0.256177
        110       18.5294      0.202617
        110       23.8235      0.141545
        110       29.1176     0.0812504
        110       34.4118     0.0314566
        110       39.7059     0.0029079
        110            45   -1.5412e-05
        110       50.2941   1.71344e-06
        110       55.5882   1.05421e-05
        110       60.8824  -8.31245e-06
        110       66.1765   3.98598e-07
        110       71.4706  -9.40584e-06
        110       76.7647  -1.97667e-06
        110       82.0588  -4.88394e-07
        110       87.3529  -1.23378e-05
        110       92.6471  -7.72076e-06
        110       97.9412  -6.16535e-06
        110       103.235  -3.17663e-06
        110       108.529  -2.32958e-06
        110       113.824    2.0487e-06
        110       119.118   8.34405e-06
        110       124.412   4.87371e-07
        110       129.706   4.75366e-07
        110           135  -9.46504e-06
        110       140.294  -1.19518e-06
        110       145.588  -4.03252e-06
        110       150.882   3.69313e-07
        110       156.176  -1.18812e-05
        110       161.471   3.34436e-06
        110       166.765  -2.49711e-06
        110       172.059   2.52494e-06
        110       177.353  -7.08924e-06
        110      -177.353    -6.997e-06
        110      -172.059   2.58484e-06
        110      -166.765  -2.47428e-06
        110      -161.471   3.26606e-06
        110      -156.176  -1.18762e-05
        110      -150.882   3.49869e-07
        110      -145.588  -4.08153e-06
        110      -140.294  -1.18961e-06
        110          -135  -9.50743e-06
        110      -129.706   3.76928e-07
        110      -124.412   5.43825e-07
        110      -119.118   8.27015e-06
        110      -113.824   2.10145e-06
        110      -108.529  -2.27744e-06
        110      -103.235  -3.17048e-06
        110      -97.9412  -6.25798e-06
        110      -92.6471  -7.75089e-06
        110      -87.3529  -1.24194e-05
        110      -82.0588  -5.21372e-07
        110      -76.7647  -1.86827e-06
        110      -71.4706  -9.56623e-06
        110      -66.1765   3.73305e-07
        110      -60.8824  -8.38816e-06
        110      -55.5882   1.05337e-05
        110      -50.2941   1.72107e-06
        110           -45  -1.53285e-05
        110      -39.7059    0.00290766
        110      -34.4118     0.0314566
        110      -29.1176     0.0812506
        110      -23.8235      0.141545
        110      -18.5294      0.202617
        110      -13.2353      0.256177
        110      -7.94118       0.29563
        110      -2.64706      0.316517
        115             0      0.236466
        115       5.53846      0.226856
        115       11.0769      0.199346
        115       16.6154      0.157667
        115       22.1538      0.107952
        115       27.6923     0.0583648
        115       33.2308     0.0187517
        115       38.7692   0.000283483
        115       44.3077   4.06905e-06
        115       49.8462  -1.31421e-05
        115       55.3846   -5.2107e-06
        115       60.9231   7.20588e-06
        115       66.4615  -8.89087e-08
        115            72   4.32138e-06
        115       77.5385   8.14424e-06
        115       83.0769  -2.59052e-06
        115       88.6154  -2.49868e-06
        115       94.1538  -3.50572e-06
        115       99.6923  -1.27906e-06
        115       105.231   6.26839e-07
        115       110.769   2.32067e-06
        115       116.308   4.58689e-06
        115       121.846   7.26718e-06
        115       127.385  -4.46906e-06
        115       132.923   1.30521e-07
        115       138.462  -8.99593e-06
        115           144  -8.05353e-06
        115       149.538  -5.46259e-06
        115       155.077   -2.3069e-06
        115       160.615   6.07732e-06
        115       166.154   3.05951e-06
        115       171.692   3.14753e-06
        115       177.231    7.5381e-06
        115      -177.231    7.4505e-06
        115      -171.692   3.13095e-06
        115      -166.154   2.90527e-06
        115      -160.615   6.12918e-06
        115      -155.077  -2.34034e-06
        115      -149.538   -5.4619e-06
        115          -144  -8.02892e-06
        115      -138.462  -9.01187e-06
        115      -132.923   1.13909e-07
        115      -127.385  -4.52577e-06
        115      -121.846   7.14666e-06
        115      -116.308   4.58434e-06
        115      -110.769   2.26911e-06
        115      -105.231    5.8325e-07
        115      -99.6923  -1.24043e-06
        115      -94.1538  -3.60917e-06
        115      -88.6154  -2.48337e-06
        115      -83.0769   -2.6332e-06
        115      -77.5385   8.18405e-06
        115           -72   4.30444e-06
        115      -66.4615  -1.43763e-08
        115      -60.9231   7.32058e-06
        115      -55.3846  -5.36448e-06
        115      -49.8462    -1.298e-05
        115      -44.3077   4.00993e-06
        115      -38.7692    0.00028229
        115      -33.2308     0.0187519
        115      -27.6923     0.0583647
        115      -22.1538      0.107952
        115      -16.6154      0.157667
        115      -11.0769      0.199346
        115      -5.53846      0.226856
        120       2.90323      0.151091
        120       8.70968      0.135267
        120       14.5161      0.106374
        120       20.3226     0.0698415
        120        26.129     0.0333926
        120       31.9355    0.00680393
        120       37.7419   1.68094e-05
        120       43.5484   -1.2141e-06
        120       49.3548    1.2798e-05
        120       55.1613   9.35536e-07
        120       60.9677   5.29463e-06
        120       66.7742  -4.68184e-06
        120       72.5806   1.17083e-06
        120       78.3871  -4.77894e-06
        120       84.1935  -2.16131e-06
        120            90    6.4358e-06
        120       95.8065   9.63637e-06
        120       101.613   7.44691e-06
        120       107.419   3.78291e-06
        120       113.226   1.88219e-06
        120       119.032   5.23362e-06
        120       124.839   9.14244e-06
        120       130.645  -5.19772e-06
        120       136.452  -3.14796e-06
        120       142.258  -6.89814e-06
        120       148.065  -3.91213e-06
        120       153.871   5.77486e-06
        120       159.677   4.38542e-06
        120       165.484  -9.56636e-07
        120        171.29  -1.00606e-05
        120       177.097  -1.05795e-05
        120      -177.097  -1.06067e-05
        120       -171.29  -9.96283e-06
        120      -165.484   -9.5503e-07
        120      -159.677   4.27326e-06
        120      -153.871   5.77124e-06
        120      -148.065  -3.79534e-06
        120      -142.258  -6.90706e-06
        120      -136.452  -3.04192e-06
        120      -130.645  -5.14113e-06
        120      -124.839   9.04766e-06
        120      -119.032   5.22277e-06
        120      -113.226   1.77645e-06
        120      -107.419   3.76701e-06
        120      -101.613   7.62664e-06
        120      -95.8065   9.57454e-06
        120           -90   6.48745e-06
        120      -84.1935  -2.17005e-06
        120      -78.3871  -4.82589e-06
        120      -72.5806   1.22186e-06
        120      -66.7742  -4.87012e-06
        120      -60.9677   5.23435e-06
        120      -55.1613   7.88495e-07
        120      -49.3548   1.27428e-05
        120      -43.5484  -1.35681e-06
        120      -37.7419   1.67416e-05
        120      -31.9355    0.00680356
        120       -26.129     0.0333926
        120      -20.3226     0.0698415
        120      -14.5161      0.106374
        120      -8.70968      0.135267
        120      -2.90323       0.15109
        125             0      0.078871
        125       6.10169     0.0728472
        125       12.2034     0.0562714
        125       18.3051     0.0335411
        125       24.4068     0.0117278
        125       30.5085   0.000224274
        125       36.6102  -1.16658e-05
        125       42.7119     7.866e-06
        125       48.8136   1.01757e-06
        125       54.9153  -3.50759e-06
        125       61.0169  -8.32115e-06
        125       67.1186   7.95322e-07
        125       73.2203   2.34686e-06
        125        79.322  -4.10554e-06
        125       85.4237   3.05383e-07
        125       91.5254   6.24754e-07
        125       97.6271   5.68951e-06
        125       103.729    7.2993e-06
        125       109.831   6.65311e-06
        125       115.932   7.04327e-06
        125       122.034   7.41594e-06
        125       128.136   7.99725e-06
        125       134.237  -6.15708e-06
        125       140.339  -7.16397e-07
        125       146.441   2.95777e-06
        125       152.542    1.4308e-05
        125       158.644  -5.12639e-06
        125       164.746  -2.40251e-06
        125       170.847   5.99289e-06
        125       176.949   9.59663e-06
        125      -176.949   9.58846e-06
        125      -170.847   6.05087e-06
        125      -164.746  -2.40699e-06
        125      -158.644  -4.99968e-06
        125      -152.542    1.4371e-05
        125      -146.441   2.97207e-06
        125      -140.339  -6.11243e-07
        125      -134.237  -6.03397e-06
        125      -128.136   8.00516e-06
        125      -122.034   7.44375e-06
        125      -115.932    7.0276e-06
        125      -109.831   6.66059e-06
        125      -103.729   7.45162e-06
        125      -97.6271   5.72916e-06
        125      -91.5254    6.2635e-07
        125      -85.4237   3.63329e-07
        125       -79.322  -4.28891e-06
        125      -73.2203   2.40663e-06
        125      -67.1186   9.01365e-07
        125      -61.0169  -8.28331e-06
        125      -54.9153  -3.50459e-06
        125      -48.8136   1.08226e-06
        125      -42.7119   7.89384e-06
        125      -36.6102  -1.19377e-05
        125      -30.5085   0.000224587
        125      -24.4068     0.0117276
        125      -18.3051     0.0335412
        125      -12.2034     0.0562713
        125      -6.10169     0.0728472
        130       3.27273     0.0233286
        130       9.81818     0.0166969
        130       16.3636    0.00682742
        130       22.9091   0.000205921
        130       29.4545  -2.20274e-05
        130            36   -1.4248e-05
        130       42.5455  -3.84533e-06
        130       49.0909  -6.11415e-06
        130       55.6364   8.62407e-06
        130       62.1818   1.67946e-06
        130       68.7273   2.46398e-06
        130       75.2727  -1.24578e-05
        130       81.8182   3.08799e-06
        130       88.3636   4.26748e-06
        130       94.9091    3.3701e-07
        130       101.455   7.49244e-06
        130           108   8.64397e-06
        130       114.545  -1.06658e-06
        130       121.091  -4.31759e-06
        130       127.636  -1.02509e-05
        130       134.182  -6.79772e-06
        130       140.727   1.11272e-05
        130       147.273   9.43223e-06
        130       153.818  -3.53423e-06
        130       160.364   1.02722e-05
        130       166.909   7.91898e-06
        130       173.455   1.64558e-07
        130           180   4.09897e-06
        130      -173.455   2.39767e-07
        130      -166.909   7.76318e-06
        130      -160.364   1.02374e-05
        130      -153.818  -3.41312e-06
        130      -147.273   9.35436e-06
        130      -140.727   1.10798e-05
        130      -134.182  -6.83165e-06
        130      -127.636  -1.01025e-05
        130      -121.091  -4.28923e-06
        130      -114.545  -9.71976e-07
        130          -108   8.77075e-06
        130      -101.455   7.50279e-06
        130      -94.9091   3.74451e-07
        130      -88.3636   4.25589e-06
        130      -81.8182   3.20607e-06
        130      -75.2727  -1.25045e-05
        130      -68.7273   2.47466e-06
        130      -62.1818   1.67507e-06
        130      -55.6364   8.63279e-06
        130      -49.0909  -6.05126e-06
        130      -42.5455  -3.83862e-06
        130           -36  -1.42708e-05
        130      -29.4545  -2.20709e-05
        130      -22.9091   0.000206798
        130      -16.3636     0.0068273
        130      -9.81818     0.0166968
        130      -3.27273     0.0233285
        135             0   0.000312703
        135       7.05882   4.75122e-05
        135       14.1176   3.91526e-06
        135       21.1765  -1.36872e-05
        135       28.2353  -4.28441e-06
        135       35.2941   6.35983e-06
        135       42.3529   3.36474e-06
        135       49.4118  -3.09002e-06
        135       56.4706     1.078e-06
        135       63.5294  -1.67172e-06
        135       70.5882   2.10713e-06
        135       77.6471  -5.81635e-06
        135       84.7059  -2.10236e-06
        135       91.7647   9.31366e-06
        135       98.8235  -3.46023e-06
        135       105.882   8.06156e-06
        135       112.941  -4.34013e-06
        135           120   -6.5969e-06
        135       127.059   2.57488e-06
        135       134.118   1.58711e-05
        135       141.176  -5.61363e-06
        135       148.235  -5.05645e-06
        135       155.294   4.96075e-06
        135       162.353   -5.2966e-06
        135       169.412   1.18658e-05
        135       176.471  -5.50452e-06
        135      -176.471   -5.5387e-06
        135      -169.412    1.1928e-05
        135      -162.353  -5.44189e-06
        135      -155.294   4.77359e-06
        135      -148.235  -5.00412e-06
        135      -141.176  -5.64938e-06
        135      -134.118   1.55991e-05
        135      -127.059   2.61145e-06
        135          -120  -6.55918e-06
        135      -112.941  -4.33223e-06
        135      -105.882   7.96118e-06
        135      -98.8235  -3.38134e-06
        135      -91.7647   9.31984e-06
        135      -84.7059  -1.97914e-06
        135      -77.6471  -5.89155e-06
        135      -70.5882   2.20162e-06
        135      -63.5294  -1.64265e-06
        135      -56.4706    1.0578e-06
        135      -49.4118  -3.02031e-06
        135      -42.3529   3.49186e-06
        135      -35.2941   6.48878e-06
        135      -28.2353  -4.26942e-06
        135      -21.1765  -1.38152e-05
        135      -14.1176   4.10022e-06
        135      -7.05882   4.77335e-05
        140       3.91304   1.21533e-05
        140       11.7391  -1.65701e-05
        140       19.5652   6.08903e-06
        140       27.3913   1.23293e-05
        140       35.2174   1.13729e-05
        140       43.0435   4.32708e-07
        140       50.8696  -3.77509e-06
        140       58.6957   2.57194e-06
        140       66.5217  -8.00308e-07
        140       74.3478   2.88338e-06
        140       82.1739  -2.70309e-06
        140            90  -7.43869e-06
        140       97.8261  -4.65296e-06
        140       105.652   2.57191e-06
        140       113.478  -8.75791e-06
        140       121.304   9.59018e-06
        140        129.13  -6.44541e-06
        140       136.957    3.4856e-07
        140       144.783    -6.525e-06
        140       152.609    9.6108e-07
        140       160.435   1.26975e-05
        140       168.261  -8.88339e-06
        140       176.087    1.2614e-06
        140      -176.087   1.11156e-06
        140      -168.261  -8.80685e-06
        140      -160.435   1.25825e-05
        140      -152.609   9.98306e-07
        140      -144.783  -6.64955e-06
        140      -136.957   2.69619e-07
        140       -129.13  -6.50418e-06
        140      -121.304   9.62194e-06
        140      -113.478  -8.86933e-06
        140      -105.652   2.64892e-06
        140      -97.8261  -4.76896e-06
        140           -90  -7.33304e-06
        140      -82.1739  -2.82956e-06
        140      -74.3478   2.83357e-06
        140      -66.5217  -6.51214e-07
        140      -58.6957   2.61754e-06
        140      -50.8696  -3.86786e-06
        140      -43.0435   5.01725e-07
        140      -35.2174   1.14465e-05
        140      -27.3913   1.23038e-05
        140      -19.5652   6.01715e-06
        140      -11.7391   -1.6618e-05
        140      -3.91304   1.21299e-05
        145             0   1.03238e-05
        145       8.78049   1.81195e-06
        145        17.561  -3.37075e-06
        145       26.3415  -1.04424e-06
        145        35.122  -7.57828e-06
        145       43.9024   3.76864e-06
        145       52.6829   7.80542e-06
        145       61.4634  -1.19725e-05
        145       70.2439   9.60488e-06
        145       79.0244   -5.8008e-07
        145       87.8049   4.83656e-06
        145       96.5854   1.23361e-06
        145       105.366  -5.35736e-06
        145       114.146   2.29234e-06
        145       122.927   6.07993e-06
        145       131.707  -7.92174e-07
        145       140.488  -1.96983e-05
        145       149.268   1.64095e-05
        145       158.049   3.83358e-06
        145       166.829   1.52318e-07
        145        175.61  -2.46985e-06
        145       -175.61  -2.62112e-06
        145      -166.829   2.02012e-07
        145      -158.049   3.92256e-06
        145      -149.268   1.62886e-05
        145      -140.488  -1.97617e-05
        145      -131.707  -6.62432e-07
        145      -122.927   6.05453e-06
        145      -114.146   2.05649e-06
        145      -105.366  -5.39473e-06
        145      -96.5854   1.17033e-06
        145      -87.8049    4.8303e-06
        145      -79.0244  -5.73827e-07
        145      -70.2439   9.68697e-06
        145      -61.4634  -1.19677e-05
        145      -52.6829   7.72991e-06
        145      -43.9024   3.72125e-06
        145       -35.122  -7.58911e-06
        145      -26.3415  -1.10596e-06
        145       -17.561  -3.48191e-06
        145      -8.78049   1.70099e-06
        150             5   3.44626e-06
        150            15   7.80232e-06
        150            25  -3.33576e-06
        150            35   3.61855e-06
        150            45   3.40456e-06
        150            55  -6.87408e-06
        150            65   2.14627e-06
        150            75   5.89156e-06
        150            85   -2.3556e-06
        150            95   1.12682e-05
        150           105   8.06955e-06
        150           115  -8.98931e-06
        150           125  -5.25519e-06
        150           135    6.7067e-06
        150           145   1.83313e-05
        150           155  -4.54177e-06
        150           165  -1.01964e-05
        150           175   1.02136e-05
        150          -175   1.02531e-05
        150          -165  -1.01885e-05
        150          -155  -4.59315e-06
        150          -145   1.83224e-05
        150          -135   6.70501e-06
        150          -125  -5.03297e-06
        150          -115  -8.94023e-06
        150          -105   8.17456e-06
        150           -95   1.13733e-05
        150           -85   -2.3398e-06
        150           -75   5.91583e-06
        150           -65   2.23893e-06
        150           -55  -6.87715e-06
        150           -45    3.2458e-06
        150           -35   3.52161e-06
        150           -25  -3.36556e-06
        150           -15   7.81652e-06
        150            -5   3.40272e-06
        155             0  -7.23135e-06
        155            12   2.09418e-06
        155            24  -3.11156e-06
        155            36  -9.90241e-06
        155            48  -5.69743e-06
        155            60   7.46381e-06
        155            72  -2.44029e-07
        155            84  -1.03148e-05
        155            96  -1.06448e-05
        155           108   1.65025e-06
        155           120   7.72262e-06
        155           132  -8.84689e-06
        155           144  -2.22756e-06
        155           156   6.31634e-06
        155           168  -9.98071e-07
        155           180  -6.26291e-07
        155          -168  -8.36437e-07
        155          -156   6.28554e-06
        155          -144  -2.37003e-06
        155          -132  -8.79153e-06
        155          -120   7.96949e-06
        155          -108   1.62797e-06
        155           -96  -1.08019e-05
        155           -84   -1.0227e-05
        155           -72  -2.79746e-07
        155           -60   7.43543e-06
        155           -48  -5.65319e-06
        155           -36   -9.8573e-06
        155           -24  -3.00877e-06
        155           -12   2.25074e-06
        160           7.2  -5.82188e-06
        160          21.6  -1.72234e-06
        160            36  -1.52755e-06
        160          50.4   6.12692e-06
        160          64.8  -1.25214e-06
        160          79.2  -3.84982e-06
        160          93.6      2.08e-06
        160           108   8.98471e-06
        160         122.4  -7.42506e-06
        160         136.8   6.84761e-06
        160         151.2  -7.61216e-06
        160         165.6  -8.14729e-06
        160           180   5.63049e-06
        160        -165.6  -8.15539e-06
        160        -151.2  -7.77596e-06
        160        -136.8   6.89936e-06
        160        -122.4  -7.50876e-06
        160          -108   9.04591e-06
        160         -93.6   2.07477e-06
        160         -79.2  -3.87448e-06
        160         -64.8  -1.15868e-06
        160         -50.4   6.11284e-06
        160           -36  -1.45395e-06
        160         -21.6  -1.64929e-06
        160          -7.2  -5.74652e-06
        165             0  -3.90803e-06
        165       18.9474  -8.27855e-07
        165       37.8947   8.69617e-06
        165       56.8421  -3.38603e-06
        165       75.7895    6.7933e-06
        165       94.7368    1.0089e-05
        165       113.684   -1.1262e-05
        165       132.632  -1.88863e-06
        165       151.579  -1.54336e-06
        165       170.526  -2.44119e-06
        165      -170.526  -2.44818e-06
        165      -151.579   -1.5735e-06
        165      -132.632  -1.77226e-06
        165      -113.684  -1.14135e-05
        165      -94.7368   1.00059e-05
        165      -75.7895   6.83875e-06
        165      -56.8421  -3.43967e-06
        165      -37.8947   8.67048e-06
        165      -18.9474  -9.00043e-07
        170       13.8462   4.13371e-06
        170       41.5385   3.44485e-06
        170       69.2308  -3.04745e-06
        170       96.9231  -8.29864e-06
        170       124.615  -4.35019e-06
        170       152.308  -3.98856e-06
        170           180   7.89556e-06
        170      -152.308  -3.80122e-06
        170      -124.615  -4.27151e-06
        170      -96.9231  -8.43431e-06
        170      -69.2308  -3.08102e-06
        170      -41.5385   3.26597e-06
        170      -13.8462   4.11602e-06
        175             0  -1.54138e-06
        175            60  -7.41384e-06
        175           120   8.91589e-06
        175           180   1.71731e-06
        175          -120   9.04495e-06
        175           -60  -7.29558e-06
        180           180  -5.49741e-07
